[03:23.4] [DEBUG] Triangle의 능력 사용 횟수: 73번
[03:23.6] [DEBUG] Triangle의 능력 사용 횟수: 74번
[03:24.0] [DEBUG] Triangle의 능력 사용 횟수: 75번
[03:24.3] [DEBUG] Triangle의 능력 사용 횟수: 76번
[03:24.6] [DEBUG] Triangle의 능력 사용 횟수: 77번
[03:24.8] [DEBUG] Triangle의 능력 사용 횟수: 78번
[03:25.5] [DEBUG] Triangle의 능력 사용 횟수: 79번
[03:26.4] [DEBUG] Triangle의 능력 사용 횟수: 80번
[03:27.3] [DEBUG] Triangle의 능력 사용 횟수: 81번
[03:27.6] [DEBUG] Triangle의 능력 사용 횟수: 82번
[03:27.9] [DEBUG] Triangle의 능력 사용 횟수: 83번
[03:28.2] [DEBUG] Triangle의 능력 사용 횟수: 84번
[03:28.6] [DEBUG] Triangle의 능력 사용 횟수: 85번
[03:29.9] [DEBUG] Triangle의 능력 사용 횟수: 86번
[03:30.2] [DEBUG] Triangle의 능력 사용 횟수: 87번
[03:31.1] [INFO] 체크포인트 [2] 도달
[03:32.0] [DEBUG] Triangle의 능력 사용 횟수: 88번
[03:33.6] [DEBUG] Triangle의 능력 사용 횟수: 89번
[03:34.5] [DEBUG] Triangle의 능력 사용 횟수: 90번
[03:36.0] [INFO] 체크포인트 [3] 도달
[03:36.1] [INFO] 모양 변경: Triangle -> Circle / Triangle 유지시간: 49.02
[03:36.1] [INFO] 스테이지 [Stage3] 진입
[03:36.5] [DEBUG] Circle의 능력 사용 횟수: 1번
[03:43.4] [DEBUG] Circle의 능력 사용 횟수: 2번
[03:50.1] [DEBUG] Circle의 능력 사용 횟수: 3번
[03:50.4] [DEBUG] Circle의 능력 사용 횟수: 4번
[03:50.7] [DEBUG] 플레이어 죽음 횟수: 5번
[03:52.3] [DEBUG] Circle의 능력 사용 횟수: 5번
[03:53.3] [DEBUG] Circle의 능력 사용 횟수: 6번
[03:53.6] [DEBUG] Circle의 능력 사용 횟수: 7번
[03:54.1] [DEBUG] Circle의 능력 사용 횟수: 8번
[03:54.4] [DEBUG] Circle의 능력 사용 횟수: 9번
[03:54.8] [DEBUG] Circle의 능력 사용 횟수: 10번
[03:55.2] [DEBUG] Circle의 능력 사용 횟수: 11번
[03:55.5] [DEBUG] Circle의 능력 사용 횟수: 12번
[03:55.9] [DEBUG] Circle의 능력 사용 횟수: 13번
[03:56.3] [DEBUG] Circle의 능력 사용 횟수: 14번
[03:56.7] [DEBUG] Circle의 능력 사용 횟수: 15번
[03:57.1] [DEBUG] Circle의 능력 사용 횟수: 16번
[03:59.4] [DEBUG] Circle의 능력 사용 횟수: 17번
[04:00.7] [DEBUG] Circle의 능력 사용 횟수: 18번
[04:01.1] [DEBUG] Circle의 능력 사용 횟수: 19번
[04:01.8] [DEBUG] Circle의 능력 사용 횟수: 20번
[04:03.9] [DEBUG] Circle의 능력 사용 횟수: 21번
[04:04.7] [DEBUG] Circle의 능력 사용 횟수: 22번
[04:09.0] [DEBUG] Circle의 능력 사용 횟수: 23번
[04:11.1] [DEBUG] Circle의 능력 사용 횟수: 24번
[04:17.5] [INFO] 체크포인트 [4] 도달
[04:17.6] [INFO] 모양 변경: Circle -> Star / Circle 유지시간: 41.48
[04:17.6] [INFO] 스테이지 [Stage4] 진입
[04:18.2] [INFO] 스테이지 [Stage4] 진입
[04:31.2] [INFO] 모양 변경: Star -> Circle / Star 유지시간: 13.60
[04:31.2] [INFO] 스테이지 [Stage3] 진입
[04:31.2] [INFO] 스테이지 [Stage3] 진입
[04:32.0] [DEBUG] Circle의 능력 사용 횟수: 25번
[04:32.2] [INFO] 모양 변경: Circle -> Star / Circle 유지시간: 1.00
[04:32.2] [INFO] 스테이지 [Stage4] 진입
[04:50.7] [DEBUG] 플레이어 죽음 횟수: 6번
[05:06.1] [INFO] 스테이지 [Stage5] 진입
[05:06.2] [INFO] 체크포인트 [5] 도달
[05:10.5] [INFO] 모양 변경: Star -> Circle / Star 유지시간: 37.29
[05:12.4] [INFO] 모양 변경: Circle -> Star / Circle 유지시간: 0.49
[05:13.5] [INFO] 모양 변경: Star -> Circle / Star 유지시간: 0.47
[05:14.7] [INFO] 모양 변경: Circle -> Square / Circle 유지시간: 0.46
[05:17.3] [INFO] 모양 변경: Square -> Triangle / Square 유지시간: 0.42
[05:18.6] [DEBUG] Triangle의 능력 사용 횟수: 91번
[05:21.3] [DEBUG] 플레이어 죽음 횟수: 7번
[05:23.1] [DEBUG] Triangle의 능력 사용 횟수: 92번
[05:24.5] [DEBUG] Triangle의 능력 사용 횟수: 93번
[05:25.5] [DEBUG] Triangle의 능력 사용 횟수: 94번
[05:28.4] [INFO] 체크포인트 [6] 도달
[05:30.0] [DEBUG] Triangle의 능력 사용 횟수: 95번
[05:30.2] [DEBUG] Triangle의 능력 사용 횟수: 96번
[05:30.4] [DEBUG] Triangle의 능력 사용 횟수: 97번
[05:30.5] [DEBUG] Triangle의 능력 사용 횟수: 98번
[05:30.7] [DEBUG] Triangle의 능력 사용 횟수: 99번
[05:30.9] [DEBUG] Triangle의 능력 사용 횟수: 100번
[05:31.0] [DEBUG] Triangle의 능력 사용 횟수: 101번
[05:31.2] [DEBUG] Triangle의 능력 사용 횟수: 102번
[05:31.3] [DEBUG] Triangle의 능력 사용 횟수: 103번
[05:31.5] [DEBUG] Triangle의 능력 사용 횟수: 104번
[05:31.7] [DEBUG] Triangle의 능력 사용 횟수: 105번
[05:31.8] [DEBUG] Triangle의 능력 사용 횟수: 106번
[05:32.0] [DEBUG] Triangle의 능력 사용 횟수: 107번
[05:32.1] [DEBUG] Triangle의 능력 사용 횟수: 108번
[05:32.3] [DEBUG] Triangle의 능력 사용 횟수: 109번
[05:32.5] [DEBUG] Triangle의 능력 사용 횟수: 110번
[05:32.6] [DEBUG] Triangle의 능력 사용 횟수: 111번
[05:32.8] [DEBUG] Triangle의 능력 사용 횟수: 112번
[05:33.0] [DEBUG] Triangle의 능력 사용 횟수: 113번
[05:33.5] [DEBUG] Triangle의 능력 사용 횟수: 114번
[05:33.6] [DEBUG] Triangle의 능력 사용 횟수: 115번
[05:33.8] [DEBUG] Triangle의 능력 사용 횟수: 116번
[05:34.0] [DEBUG] Triangle의 능력 사용 횟수: 117번
[05:34.2] [DEBUG] Triangle의 능력 사용 횟수: 118번
[05:34.4] [DEBUG] Triangle의 능력 사용 횟수: 119번
[05:34.5] [DEBUG] Triangle의 능력 사용 횟수: 120번
[05:34.7] [DEBUG] Triangle의 능력 사용 횟수: 121번
[05:34.9] [DEBUG] Triangle의 능력 사용 횟수: 122번
[05:35.0] [DEBUG] Triangle의 능력 사용 횟수: 123번
[05:35.2] [DEBUG] Triangle의 능력 사용 횟수: 124번
[05:35.4] [DEBUG] Triangle의 능력 사용 횟수: 125번
[05:35.7] [DEBUG] Triangle의 능력 사용 횟수: 126번
[05:35.9] [DEBUG] Triangle의 능력 사용 횟수: 127번
[05:36.0] [DEBUG] Triangle의 능력 사용 횟수: 128번
[05:36.3] [INFO] 모양 변경: Triangle -> Star / Triangle 유지시간: 19.01
[05:37.7] [INFO] 모양 변경: Star -> Circle / Star 유지시간: 1.45
[05:38.2] [INFO] 모양 변경: Circle -> Square / Circle 유지시간: 0.47
[05:39.3] [DEBUG] Square의 능력 사용 횟수: 86번
[05:40.1] [INFO] 모양 변경: Square -> Circle / Square 유지시간: 1.87
[05:40.2] [INFO] 모양 변경: Circle -> Star / Circle 유지시간: 0.15
[05:40.4] [INFO] 모양 변경: Star -> Triangle / Star 유지시간: 0.16
[05:40.5] [DEBUG] 플레이어 죽음 횟수: 8번
[05:40.6] [INFO] 모양 변경: Triangle -> Circle / Triangle 유지시간: 0.19
[05:40.6] [DEBUG] 플레이어 죽음 횟수: 9번
[05:40.6] [DEBUG] 플레이어 죽음 횟수: 10번
[05:42.5] [DEBUG] Circle의 능력 사용 횟수: 26번
[05:43.9] [DEBUG] Circle의 능력 사용 횟수: 27번
[05:44.1] [DEBUG] 플레이어 죽음 횟수: 11번
[05:45.4] [DEBUG] Circle의 능력 사용 횟수: 28번
[05:46.1] [INFO] 모양 변경: Circle -> Star / Circle 유지시간: 5.49
